,Name,Rate,Review Count,Adress,Phone
106,PIZZA ITALY,4.0,137,Bielawa,
107,Pizza Hut Gdańsk Madison,4.4,135,Gdańsk · In Madison Shopping Mall,
108,Pelati,4.5,150,Gdańsk,
109,GiGi Pizza,4.6,208,Gdynia,
110,Pizzeria Enigma22,4.6,338,Gdańsk,
111,Pizza Italy,4.6,412,"Terchová, Slovakia",
112,Napoli Pizza & Pasta - Rumia,4.1,508,Rumia,
113,Sjesta Pizzeria,4.1,536,Tczew,
114,Tam Gdzie Zawsze Brzeźno,4.1,368,Gdańsk,
115,Hot Italian Pizza Zielona Góra,4.4,290,Zielona Góra,
116,Husak Pizza,4.9,430,Gdańsk,
117,Little Italy,4.5,68,"Oslo, Norway · In Vinderen Torvet",
118,Mąka i Oliwa,4.1,17,Gdańsk,
119,Toscana,4.5,840,Sopot,
120,Italian Pizza,4.4,171,Wrząsowice,
121,Pinco Pallino,4.4,832,Poznań,
122,Chianti Grill Bar,4.4,291,Sopot,
123,Bistro Kuźnia,4.3,872,Gdańsk,
124,Ristorante O' Sole Mio! Gdańsk,4.0,106,Gdańsk,
125,L'Antica Pizzeria da Michele,4.4,25000,"Naples, Metropolitan City of Naples, Italy",
126,"Kantyna Port Gdynia - restauracja, catering dla firm na dowóz, obiady na wynos, zupy, pizza, burgery, fast food, posiłki regeneracyjne i profilaktyczne dla pracowników",4.9,86,Gdynia · In BCT Baltic Container Terminal,
127,Pizzeria Camaro,3.1,232,Gdańsk,
128,Italy's Pizza & Pasta Company,4.8,626,"Buford, GA, United States · In Hamilton Mill",
129,Palermo Restauracja & Pub,3.0,3,Kartuzy,
130,Taste of Italy Pizza Bar,4.9,234,"Chelmsford, United Kingdom",
131,Gustapizza,4.5,3100,"Florence, Metropolitan City of Florence, Italy",
132,Gino e Toto Sorbillo,4.5,19000,"Naples, Metropolitan City of Naples, Italy",
133,Italy Pasta & Pizza,4.5,1200,"Fort Worth, TX, United States · In Woodcreek Village",
134,Pizza Italia,4.0,346,"Sabaudia, Province of Latina, Italy",
135,Pepe In Grani,4.4,7100,"Caiazzo, Province of Caserta, Italy",
136,Bonci Pizzarium,4.3,7400,"Rome, Metropolitan City of Rome, Italy",
137,Italy’s Pizza,4.4,296,"South Daytona, FL, United States",
138,Starita,4.6,8500,"Naples, Metropolitan City of Naples, Italy",
139,Pizza a Portafoglio,4.4,1000,"Naples, Metropolitan City of Naples, Italy",
140,Pizza a Portafoglio,4.4,1000,"Naples, Metropolitan City of Naples, Italy",
141,Italian Pizzeria III,4.6,625,"Chapel Hill, NC, United States",
142,Little Italy Pizzeria 12&Hoover 🍕,4.3,354,"Warren, MI, United States",
143,LIVIN'Italy,4.5,1200,"Leeds, United Kingdom · In Leeds railway station",
144,Little Italy Pizza,4.4,888,"Groveport, OH, United States",
145,Alleria Pizzeria Newpolitana,4.3,1300,"Pompei, Metropolitan City of Naples, Italy",
146,Domino's Pizza Italia,3.7,640,"Milan, Metropolitan City of Milan, Italy",
147,Pizza Italy,4.5,200,"Simpson Bay, Sint Maarten",
148,Italian Pizza Kitchen Roselle,4.4,931,"Roselle, IL, United States",
149,Mahika Pizza Italia,4.3,38,"Anzio, Metropolitan City of Rome, Italy",
150,Gianni Pizza,4.5,590,"Latina, Province of Latina, Italy",
151,Little Italian Pizza,4.5,369,"Naperville, IL, United States · In Mediterranean Oasis Mart",
152,Little Italian Pizza West,4.7,108,"Naperville, IL, United States",
153,Two Brothers From Italy Pizza,4.3,133,"Vista, CA, United States · In Melrose Village Plaza",
154,Two Brothers From Italy Pizza,4.3,494,"Oceanside, CA, United States · In Oceanside square",
155,Two Brothers from Italy,4.4,235,"Vista, CA, United States",
156,Stellina Pizzeria,4.5,378,"Washington, DC, United States · In The Edison at Union Market",
157,Two Brothers From Italy Pizza,4.6,371,"Oceanside, CA, United States",
158,City Pizza Italian Cuisine,4.4,1400,"West Palm Beach, FL, United States · In CityPlace",
159,Eataly,4.1,3000,"Toronto, ON, Canada · In the Manulife Centre",
160,Pizza Italian Palace,4.4,237,"Al Hidd, Bahrain",
161,Formaggio Pizza and Italian Restaurant,4.7,990,"Ocala, FL, United States",
162,Little Italy Pizza Italian Restaurant,4.5,966,"Gila Bend, AZ, United States",
163,LA BASE,4.3,6300,"Rome, Metropolitan City of Rome, Italy",
164,Maurizio Dining & Co.,4.4,176,"Cambridge, United Kingdom",
165,InRome Cooking Classes,5.0,48,"Rome, Metropolitan City of Rome, Italy",
